id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-003001;CLI-62265;telefone;Ouvidoria;cancelado;2026-08-02 15:35:41;"{""duracao_chamada_seg"": 426, ""fila_espera_seg"": 264, ""protocolo"": ""2874942026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 1}"
INT-003002;CLI-92873;chat_site;Financeiro;resolvido;2026-10-22 10:49:31;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.37.167"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-003003;CLI-52684;email;Ouvidoria;pendente;2026-09-14 08:28:59;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 3712, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 7.57}"
INT-003004;CLI-80199;chat_site;Financeiro;em_andamento;2026-01-06 06:03:55;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.105.244"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-003005;CLI-81772;chat_site;Suporte Tecnico;em_andamento;2026-06-23 08:42:12;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.43.16"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-003006;CLI-74910;whatsapp;Financeiro;pendente;2026-01-16 10:47:24;"{""numero_origem"": ""+55219602794533"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 34, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-003007;CLI-20052;email;Comercial;em_andamento;2026-04-30 01:17:05;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 890, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 23.1}"
INT-003008;CLI-80436;telefone;Ouvidoria;em_andamento;2026-12-18 22:34:03;"{""duracao_chamada_seg"": 186, ""fila_espera_seg"": 220, ""protocolo"": ""2326902026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 1}"
INT-003009;CLI-55052;email;Suporte Tecnico;pendente;2026-05-17 05:37:56;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 2046, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 2.12}"
INT-003010;CLI-44322;whatsapp;Financeiro;pendente;2026-07-13 18:04:07;"{""numero_origem"": ""+55319627533144"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 121, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-003011;CLI-36236;email;Comercial;pendente;2026-04-04 21:54:44;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 2253, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 20.2}"
INT-003012;CLI-54568;email;Comercial;pendente;2026-02-10 07:58:02;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 1484, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 13.9}"
INT-003013;CLI-48124;telefone;Ouvidoria;cancelado;2026-03-07 09:37:00;"{""duracao_chamada_seg"": 269, ""fila_espera_seg"": 151, ""protocolo"": ""5031092026"", ""satisfacao_pre_atendimento"": 1, ""transferencias"": 2}"
INT-003014;CLI-97760;chat_site;Comercial;resolvido;2026-11-03 22:40:09;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.97.187"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-003015;CLI-50746;email;Financeiro;pendente;2026-02-27 13:22:51;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 3456, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 4.7}"
INT-003016;CLI-58535;email;Financeiro;resolvido;2026-06-24 11:03:35;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 1349, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 11.73}"
INT-003017;CLI-46215;chat_site;Comercial;em_andamento;2026-03-01 10:27:19;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.180.167"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-003018;CLI-13109;whatsapp;Comercial;pendente;2026-01-29 11:11:10;"{""numero_origem"": ""+55419708884215"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 126, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-003019;CLI-54073;whatsapp;Comercial;resolvido;2026-09-25 19:06:03;"{""numero_origem"": ""+55719125293593"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 150, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
